Carimbo de data/hora,Data Nascimento:,Curso:,Período:,Motivo pela escolha da Fatec (esta questão admite mais de uma resposta):,Motivo da escolha do curso (esta questão admite mais de uma resposta):,Tempo decorrido da conclusão do ensino médio:,Formado em escola:        ,"Você trabalha?  ( A empregabilidade, principalmente se relacionada ao curso, pode motivá-lo(a) para o programa.) ","Se positivo, favor informar: 
Nome da empresa:","Se positivo, favor informar: Cargo ocupado:",O cargo ocupado é compatível com o curso que você acaba de se matricular?,"(a renda pessoal ou familiar pode reduzir a necessidade por outros trabalhos, sem riscos para o seu curso)
Número de salários-mínimos que recebe:",Espaço para suas considerações 
4/8/2025,9/9/2001,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Por trabalhar na área,4 anos,Pública,Sim,VW Serviços,Vendedora,Não,1 salário mínimo,
4/8/2025,5/6/2006,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Não,,,,2 salários mínimos,
4/8/2025,2/27/2007,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública","Pelo nome do curso, Por orientação familiar, Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Sim,Adonai Química ,auxiliar administrativo ,Não,1 salário mínimo,
4/8/2025,11/11/2004,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública","Pelo nome do curso, Por trabalhar na área, Por informações de alunos da Fatec",3 anos,Pública,Sim,Ageo Terminais ,Aprendiz Administrativo ,Sim,4 salários mínimos,
4/8/2025,3/10/2004,Gestão Portuária,Noturno,"Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Por trabalhar na área,3 anos,Particular,Sim,ADM Brasil,Aprendiz,Não,1 salário mínimo,
4/8/2025,5/14/2005,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",1 anos,Pública,Sim,Piracicabana ,Assistente Administrativo no RH operacional ,Não,,
4/8/2025,10/5/2006,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Pelo nome do curso,,Particular,Sim,Padaria orquidário ,Atendente ,Não,3 salários mínimos,
4/8/2025,8/2/2006,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja","Pelo nome do curso, Por orientação familiar",Acabou de se formar,Pública,Sim,Casa dos Parafusos Bertioga ,Atendente,Não,3 salários mínimos,
4/8/2025,3/24/2005,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ter amigos na escola","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira, Devido ao menor tempo de curso",3 anos,Particular,Sim,Multilog,Assistente de Transporte,Sim,3 salários mínimos,
4/8/2025,8/20/2006,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública","Por trabalhar na área, Por informações de alunos da Fatec",Acabou de se formar,Pública,Sim,Msc,Assistente administrativo ,Sim,1 salário mínimo,
4/8/2025,2/27/2007,Gestão Portuária,Noturno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública","Pelo nome do curso, Por orientação familiar, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Sim,Adonai Química ,auxiliar administrativo,Sim,1 salário mínimo,
4/16/2025,3/19/2007,Ciência de Dados,Diurno,"Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Por ter conhecimento e afinidade com a carreira,Acabou de se formar,Pública,Não,,,,4 salários mínimos,
4/16/2025,9/1/2006,Ciência de Dados,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública","Pelo nome do curso, Por orientação familiar",Acabou de se formar,Pública,Não,,,,2 salários mínimos,
4/16/2025,4/2/2007,Ciência de Dados,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública, Por ter amigos na escola","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Não,,,,2 salários mínimos,
4/16/2025,6/5/2003,Ciência de Dados,Diurno,"Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Por ter conhecimento e afinidade com a carreira, Devido ao menor tempo de curso",4 anos,Pública,Não,,,,3 salários mínimos,
4/16/2025,4/11/2006,Ciência de Dados,Diurno,"Pela qualidade da Instituição, Por orientação familiar",Pelo nome do curso,1 anos,Pública,Não,,,,"Nenhum,não trabalho",
4/16/2025,8/23/2007,Ciência de Dados,Diurno,"Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública","Pelo nome do curso, Por orientação familiar",Acabou de se formar,Pública,Não,,,,4 salários mínimos,
4/16/2025,10/16/2006,Ciência de Dados,Diurno,Por ser o curso que deseja,Pelo nome do curso,Acabou de se formar,Pública,Não,,,,"5,5",
4/16/2025,4/16/1986,Ciência de Dados,Diurno,Por ser Instituição Pública,Por ter conhecimento e afinidade com a carreira,20 anos,Particular,Não,,,Não,2 salários mínimos,
4/16/2025,6/4/2004,Ciência de Dados,Diurno,Pela qualidade da Instituição,Por ter conhecimento e afinidade com a carreira,1 anos,Pública,Sim,Ateliê da dina,Logistica(ponto shoppe e shein),Não,1 salário mínimo,
4/16/2025,2/23/2007,Ciência de Dados,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública","Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",Acabou de se formar,Particular,Sim,KNN idiomas,Professor de Inglês ,Não,1 salário mínimo,
4/16/2025,10/7/2006,Ciência de Dados,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Por ter conhecimento e afinidade com a carreira,Acabou de se formar,Pública,Não,,,,,
4/16/2025,12/5/2002,Ciência de Dados,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Pela Instituição ficar perto de onde você mora","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",4 anos,Pública,Não,,,,2 salários mínimos,
4/16/2025,12/26/2006,Ciência de Dados,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública",Por trabalhar na área,Acabou de se formar,Pública,Não,,,,1 salário mínimo,
4/16/2025,10/7/2003,Ciência de Dados,Diurno,Pela qualidade da Instituição,"Por trabalhar na área, Por informações de alunos da Fatec",4 anos,Particular,Não,,,Não,2 salários mínimos,
4/16/2025,8/1/2006,Ciência de Dados,Diurno,"Por orientação familiar, Por ser Instituição Pública",Pelo nome do curso,3 anos,Pública,Não,,,,,
4/16/2025,3/11/2007,Ciência de Dados,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Particular,Não,,,Não,nao trabalho no atual momento,
4/16/2025,9/9/2006,Ciência de Dados,Diurno,"Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,Acabou de se formar,Pública,Sim,CNA,Professor,Não,1 salário mínimo,
4/16/2025,9/28/2005,Ciência de Dados,Diurno,Por ser Instituição Pública,Por ter conhecimento e afinidade com a carreira,3 anos,Pública,Não,,,,,
4/17/2025,5/16/2006,Ciência de Dados,Diurno,Por orientação familiar,Pelo nome do curso,Acabou de se formar,Pública,Não,,,,1 salário mínimo,
